# ra_deg|dec_deg|mag|bv|bayer|proper_name|constellation
85.2733|0.3378|5.93|0.311|||
85.3238|16.5341|4.84|-0.125|||Tau
85.5582|-22.3737|5.88|0.080|||Lep
85.5633|-34.6678|5.29|-0.032|WZ||Col
85.6102|65.6976|5.62|1.249|||
85.6193|1.4746|4.90|1.144|b||Ori
85.7246|-6.7962|5.97|0.447|||
85.8403|-18.5575|5.73|-0.014|||
86.1158|-22.4484|3.59|0.481|γ|Kursi al Jabbar|Lep
86.1932|-65.7355|4.34|0.217|δ||Dor
86.4752|49.8263|5.46|0.030|ο||Aur
86.4996|-32.3064|5.18|-0.274|μ||Col
86.6141|-46.5972|5.31|1.040|||
86.6266|56.1156|5.93|0.164|||Cam
86.6455|1.1682|5.95|0.773|||
86.6896|15.8225|6.00|-0.061|||Tau
86.7172|9.5223|5.78|0.888|||
86.7389|-14.8220|3.55|0.104|ζ||Lep
86.8048|14.4883|5.72|0.077|||Tau
86.8212|-51.0665|3.85|0.171|β||Pic
86.8592|17.7291|5.47|0.301|||Tau
86.9288|13.8996|5.28|-0.156|||Tau
86.9391|-9.6696|2.07|-0.168|κ|Saiph|Ori
87.0010|6.4542|5.26|0.234|||Ori
87.1456|-4.0946|5.97|0.639|GJ1085||
87.2540|24.5675|4.88|1.021|||Tau
87.2935|39.1811|4.51|0.949|τ||Aur
87.3872|12.6513|4.89|-0.068|||Tau
87.4023|-14.4837|5.49|0.870|||
87.4569|-56.1667|4.50|1.075|γ||Pic
87.4729|-22.9719|5.87|0.055|||
87.4730|-66.9012|5.10|-0.128|ε||Dor
87.5112|9.8712|5.79|0.876|||
87.5544|4.4234|5.96|1.361|||
87.5699|-79.3614|5.46|-0.076|κ||Men
87.6204|14.3056|5.54|1.006|||Tau
87.6251|2.0247|5.97|0.953|||
87.7218|-52.1089|5.16|0.960|||
87.7400|-35.7683|3.12|1.146|β|Wazn|Col
87.7421|27.9679|5.60|0.978|||
87.7602|37.3056|4.72|1.621|υ||Aur
87.8304|-20.8791|3.76|0.984|δ|Arsh al Jauzah|Lep
87.8416|-7.5180|5.36|-0.195|||Ori
87.8725|39.1485|3.97|1.132|ν||Aur
88.0322|-9.0419|5.95|0.100|||
88.0842|-57.1562|5.93|0.656|||
88.0929|14.1718|5.60|-0.053|||Tau
88.0975|19.8678|5.96|0.549|||
88.1102|1.8551|4.76|1.382|||Ori
88.1383|-37.6311|5.62|1.046|||
88.2787|-33.8014|4.88|-0.154|λ||Col
88.3319|27.6123|4.56|-0.008|||Tau
88.5252|-63.0896|4.65|1.022|||Dor
88.5958|20.2762|4.39|0.594|χ1||Ori
88.6818|-11.7742|5.62|1.523|||
88.6835|0.9686|5.99|1.328|||
88.7087|-52.6355|5.29|0.295|||
88.7116|55.7069|4.96|0.052|ξ||Aur
88.7187|-39.9579|5.55|1.515|||
88.7362|19.7496|5.92|-0.145|||Ori
88.7409|59.8884|5.20|0.010|||Cam
88.7458|31.7015|5.90|0.144|||
88.7929|7.4071|0.45|1.500|α|Betelgeuse|Ori
88.8747|-37.1207|4.97|1.102|ξ||Col
88.8757|-4.6165|5.87|1.173|||
89.0595|-22.8400|5.95|1.107|||
89.0873|-31.3824|5.52|0.382|σ||Col
89.1012|-14.1677|3.71|0.337|η||Lep
89.1168|9.5094|5.97|-0.038|||
89.2060|11.5211|5.89|1.111|||
89.3842|-35.2833|4.36|-0.165|γ||Col
89.4986|25.9539|4.81|-0.088|||Tau
89.6018|1.8371|5.89|0.223|||Ori
89.6564|-44.0346|5.81|1.061|||
89.7065|0.5530|5.21|0.009|||Ori
89.7218|12.8083|5.70|0.874|||
89.7680|-9.5583|5.04|0.189|||Mon
89.7867|-42.8151|3.96|1.146|η||Col
89.8407|49.9245|5.90|1.194|||
89.8818|54.2847|3.72|1.010|δ||Aur
89.8822|44.9474|1.90|0.077|β|Menkalinan|Aur
89.9303|37.2126|2.65|-0.083|θ|Mahasim|Aur
89.9837|45.9367|4.30|1.701|π||Aur
90.0140|-3.0743|4.53|1.202|||
90.2049|-51.2163|5.65|0.207|||
90.2440|47.9019|5.71|-0.007|||Aur
90.3179|-33.9118|5.54|1.580|||
90.4294|48.9594|5.98|1.437|||
90.4601|-10.5979|4.92|-0.128|||Mon
90.5958|9.6473|4.12|0.170|μ||Ori
90.8150|-26.2845|5.03|1.335|||
90.8640|19.6906|5.14|-0.097|||Ori
90.9799|20.1385|4.64|0.236|χ2||Ori
91.0301|23.2633|4.16|0.835||Propus|Gem
91.0563|-6.7089|5.19|-0.066|V0696||Mon
91.0844|-32.1724|5.65|-0.186|||Col
91.1671|-45.0789|5.93|0.493|||
91.2424|5.4200|5.67|1.047|||Ori
91.2432|4.1587|5.63|1.041|||Ori
91.2464|-16.4844|4.92|0.196|||Lep
91.2641|42.9816|5.90|0.358|||Aur
91.3626|-10.2426|5.88|0.374|||
91.3632|-35.5136|5.80|0.027|||
91.5231|-29.7586|5.79|0.041|||
91.5391|-66.0396|5.72|-0.024|η1||Dor
91.5388|-14.9353|4.67|0.046|θ||Lep
91.6337|-23.1108|5.46|0.064|||
91.6462|38.4826|5.35|0.251|||Aur
91.6614|-4.1938|5.37|-0.122|||
91.7396|-21.8123|5.74|1.584|||
91.7641|-62.1546|5.04|1.256|||
91.7653|-34.3120|5.82|-0.137|||
91.8818|-37.2529|5.00|-0.095|θ|Elkurud|Col
91.8930|14.7685|4.42|-0.164|ν||Ori
91.9235|-19.1659|5.28|1.661|||Lep
91.9702|-42.1540|5.50|0.007|π2||Col
92.1844|-68.8434|5.06|-0.072|ν||Dor
92.2411|-22.4274|5.49|-0.010|||
92.2413|2.4997|5.70|0.067|||
92.3852|22.1903|5.93|1.626|||
92.3939|-14.5846|5.56|1.150|||
92.4333|23.1135|5.75|0.192|||Gem
92.4498|-22.7743|5.71|0.454|||
92.4959|58.9357|5.35|1.096|||Cam
92.5433|-40.3538|5.54|1.665|AF||Col
92.5603|-74.7530|5.08|0.714|α||Men
92.5746|-54.9686|4.72|-0.229|δ||Pic
92.6445|-27.1543|5.72|1.072|||
92.8124|-65.5894|5.01|1.599|η2||Dor
92.8846|24.4203|5.83|1.110|||Gem
92.9025|48.7110|5.78|0.100|||Aur
92.9659|-6.5503|5.06|-0.201|||
92.9850|14.2088|4.45|-0.180|ξ||Ori
93.0056|19.7905|5.76|-0.071|||Ori
93.0137|16.1304|4.95|-0.149|f1||Ori
93.0838|32.6934|5.78|1.646|||
93.2128|65.7184|5.36|1.344|||Cam
93.4760|-3.7414|5.83|0.910|||
93.6191|17.9064|5.86|0.253|||
93.6529|-4.5685|5.83|-0.155|||
93.7120|19.1564|5.20|0.430|||Ori
93.7139|-6.2748|3.99|1.319|γ||Mon
93.7194|22.5068|3.31|1.600|η|Propus|Gem
93.7853|13.8511|5.91|-0.231|||
93.7850|-20.2722|5.88|1.322|||
93.8238|-18.4772|5.99|1.058|||
93.8445|29.4981|4.32|1.021|κ||Aur
93.8547|16.1432|5.34|-0.101|f2||Ori
93.8736|-4.9147|5.99|0.097|||
93.8928|-0.5122|5.62|0.506|||
93.9189|59.9990|5.37|1.339|||Cam
93.9370|-13.7184|5.00|-0.078|||
93.9374|12.5511|5.44|0.015|||Ori
94.0320|-16.6180|5.97|-0.167|||
94.1109|12.2722|5.04|0.431|k||Ori
94.1381|-35.1405|4.37|0.978|κ||Col
94.1483|-39.2644|6.00|0.163|||
94.2551|-37.7374|5.54|1.129|||
94.2776|9.9424|5.39|0.106|l||Ori
94.2899|-37.2535|5.88|0.139|||
94.3172|5.1001|5.70|0.610|GJ231.1A||
94.4238|-16.8159|5.15|1.293|||
94.4784|61.5153|5.01|1.843|||Lyn
94.5572|-19.9670|5.51|-0.163|||
94.7108|-9.3900|5.36|1.239|||
94.7116|69.3198|4.76|0.025|||
94.7457|-20.9256|5.79|-0.155|||
94.9058|59.0110|4.44|0.032|||Lyn
94.9207|-34.3966|5.76|-0.080|||
94.9283|-7.8229|5.27|-0.177|||Mon
94.9983|-2.9445|4.91|1.613|||
95.0176|14.6511|5.67|1.578|||
95.0783|-30.0634|3.02|-0.160|ζ|Furud|CMa
95.1510|-34.1441|5.55|-0.182|||
95.3530|-11.7732|5.48|0.002|FR||CMa
95.4422|53.4522|5.34|0.448|||Aur
95.5285|-33.4364|3.85|0.858|δ||Col
95.6516|12.5702|6.00|0.319|||
95.6595|-69.9840|5.56|1.510|π1||Dor
95.6749|-17.9559|1.98|-0.240|β|Mirzam|CMa
95.7326|-56.3700|5.60|0.242|ν||Pic
95.7401|22.5136|2.87|1.621|μ|Tejat|Gem
95.9420|4.5929|4.39|0.215|ε||Mon
95.9830|-25.5776|5.61|1.561|||
95.9880|-52.6957|-0.62|0.164|α|Canopus|Car
96.0042|-36.7078|5.62|1.027|||
96.0430|-11.5301|5.21|1.230|||
96.0577|-60.2813|5.78|-0.001|||
96.2246|49.2879|4.92|1.905|ψ1|Dolones|Aur
96.3189|-0.9459|5.88|0.564|||
96.3693|-69.6903|5.37|0.971|π2||Dor
96.4319|-48.1769|5.76|-0.061|G||Pup
96.6077|56.2851|5.53|0.238|RR||Lyn
96.6649|-1.5073|5.87|0.070|||
96.7036|58.4174|5.21|1.538|||Lyn
96.7672|-58.0021|5.82|1.279|||
96.8073|0.2992|5.19|1.186|||Ori
96.8150|-0.2760|5.55|1.376|||Ori
96.8352|2.9083|5.55|1.035|||
96.9899|-4.7622|5.06|-0.175|||Mon
97.0425|-32.5801|4.47|-0.169|λ||CMa
97.1420|30.4930|5.75|0.779|||Aur
97.1559|-17.4660|5.76|1.118|||
97.1635|-32.3713|5.74|-0.160|IY||CMa
97.2045|-7.0331|3.76|-0.113|β||Mon
97.2408|20.2121|4.13|-0.115|ν|Nucatai|Gem
97.3687|-56.8528|5.20|1.087|||Pic
97.4544|-50.2391|5.28|0.371|||
97.5124|46.6856|5.88|1.448|||Aur
97.5470|-10.0815|5.92|1.373|||
97.6929|-27.7696|5.92|-0.156|||
97.6963|58.1626|5.86|0.934|||Lyn
97.8046|-35.2588|5.82|0.813|||
97.8263|-51.8260|5.58|0.534|||
97.8460|-12.3920|5.16|1.262|||
97.9512|11.5444|5.22|0.185|||
97.9586|-8.1582|5.43|1.373|||
97.9640|-23.4184|4.34|-0.245|ξ1||CMa
97.9930|-58.7538|5.69|-0.057|μ||Pic
98.0800|4.8560|5.88|0.997|||Mon
98.0891|-37.6967|5.25|0.982|||
98.0964|-5.8688|5.60|0.256|||
98.1133|32.4549|5.82|0.188|WW||Aur
98.1624|-32.0304|5.73|-0.180|||
98.2259|7.3330|4.47|0.023|||Mon
98.4007|14.1552|5.57|1.105|||
98.4080|-1.2202|5.09|-0.132|||
98.4562|-36.2320|5.42|1.419|||
98.6472|-32.7163|5.62|-0.085|||
98.7441|-52.9756|4.35|-0.021|N||Car
98.7641|-22.9648|4.54|-0.035|ξ2||CMa
98.8003|28.0223|5.26|-0.008|||Aur
98.8159|0.8902|5.78|0.004|||
98.8233|9.9883|5.93|1.508|||
98.8509|-36.7799|5.59|-0.130|||
99.0952|-18.6599|5.71|0.848|ν1||CMa
99.1368|38.4455|5.40|2.500|||
99.1472|-5.2111|5.52|-0.082|||
99.1710|-19.2559|3.95|1.037|ν2||CMa
99.1942|-13.3210|5.95|1.562|||
99.3076|-36.9907|5.72|-0.112|||
99.4100|56.8575|5.87|0.006|||Lyn
99.4224|61.4812|5.94|0.899|||Lyn
99.4279|16.3993|1.93|0.001|γ|Alhena|Gem
99.4403|-43.1959|3.17|-0.103|ν||Pup
99.4484|-32.3397|5.25|1.177|||
99.4726|-18.2375|4.42|1.137|ν3||CMa
99.5959|28.9844|5.76|-0.001|||Aur
99.6568|-48.2202|5.05|0.997|||
99.6647|39.3909|5.70|1.367|||Aur
99.7049|39.9026|5.34|-0.075|ψ3||Aur
99.8197|-14.1458|4.82|1.459|||
99.8326|42.4889|4.80|1.236|ψ2||Aur
99.9278|-30.4705|5.70|1.134|||
99.9488|12.9828|5.99|0.063|||
100.0120|-80.8136|5.61|0.214|ζ||Men
100.1203|77.9958|5.75|1.488|||
100.1344|71.7488|5.88|1.223|||
100.2444|9.8958|4.66|-0.233|||Mon
100.2727|0.4953|5.79|-0.094|||
100.4849|-9.1675|5.21|1.525|||
100.6014|17.6453|5.20|0.063|||Gem
100.7707|44.5244|5.04|1.479|ψ4||Aur
100.9110|3.9325|5.88|-0.046|||
100.9830|25.1311|3.06|1.377|ε|Mebsuta|Gem
100.9971|13.2280|4.49|1.167|||Gem
101.1186|-31.0705|5.23|-0.127|||CMa
101.1894|28.9709|5.42|1.445|||Gem
101.2872|-16.7161|-1.44|0.009|α|Sirius|CMa
101.3224|12.8956|3.35|0.443|ξ|Alzirr|Gem
101.3456|-31.7937|5.92|0.491|GJ245.1||
101.3800|-30.9490|5.62|-0.138|HP||CMa
101.4738|-52.4097|5.81|1.551|||
101.4975|-14.7961|5.30|0.075|||
101.5589|59.4417|4.86|0.084|||Lyn
101.5590|79.5648|5.44|0.525|GJ240.1||
101.6351|8.5872|5.92|-0.173|||Mon
101.6626|-10.1074|5.66|-0.048|||
101.6847|43.5774|5.24|0.575|ψ5||Aur
101.7063|57.1692|5.34|0.964|||Lyn
101.7129|-14.4260|5.28|-0.024|||CMa
101.7195|-51.2657|5.39|1.330|||
101.8280|-55.5400|5.60|1.549|O||Car
101.8326|8.0373|4.77|1.396|||Mon
101.8392|-37.9297|5.27|-0.078|x||Pup
101.9051|-8.9985|5.08|1.795|||
101.9149|48.7895|5.22|1.131|ψ6||Aur
101.9652|2.4122|4.48|1.099|||Mon
102.0477|-61.9414|3.24|0.225|α||Pic
102.0512|55.7042|5.54|0.000|||
102.0794|-1.3189|5.75|0.292|||
102.2406|-15.1447|5.39|-0.096|||
102.3184|-2.2720|5.75|-0.098|||
102.4221|32.6068|5.72|1.298|IS||Gem
102.4577|16.2029|5.87|-0.136|||Gem
102.4602|-32.5085|3.50|-0.116|κ||CMa
102.4638|-53.6224|4.41|0.899|A||Car
102.4776|-46.6146|5.14|0.460|GJ249.1||
102.4840|-50.6146|2.94|1.207|τ||Pup
102.5907|-17.0846|5.77|1.435|||
102.5973|-31.7061|5.74|0.094|HZ||CMa
102.6062|13.4132|5.68|1.329|||Gem
102.6914|41.7812|4.99|1.256|ψ7||Aur
102.7076|-0.5409|5.78|0.396|||
102.7181|-34.3673|4.99|1.379|||
102.7379|67.5719|5.14|-0.152|||Cam
102.8624|-70.9634|5.41|-0.110|ι||Vol
102.8877|21.7611|5.28|-0.020|d||Gem
102.9268|-36.2303|5.94|0.183|||
102.9999|23.6017|5.68|1.467|||
103.1972|33.9613|3.60|0.102|θ||Gem
103.2061|8.3804|5.75|0.270|||
103.2710|59.4485|5.34|0.675|||Lyn
103.3284|-19.0328|5.65|0.279|||
103.3871|-20.2243|4.82|-0.212|||CMa
103.4260|68.8883|5.11|-0.114|||Cam
103.5331|-24.1842|3.89|1.740|ο1|Udra|CMa
103.5475|-12.0386|4.08|1.418|θ||CMa
103.6028|-1.1270|5.44|0.167|||
103.6610|13.1778|4.73|0.321|e||Gem
103.7614|-20.4049|5.80|0.048|||CMa
103.8278|25.3757|5.74|0.573|||Gem
103.9060|-20.1365|4.66|0.374|π||CMa
103.9455|-22.9414|5.29|-0.163|||
104.0277|-14.0434|5.00|1.182|μ|Isis|CMa
104.0343|-17.0542|4.36|-0.063|ι||CMa
104.0666|-48.7211|4.94|1.668|||
104.1076|9.9566|5.90|-0.085|||
104.1336|46.2740|5.85|-0.079|ψ9||Aur
104.1436|-79.4202|5.45|0.041|θ||Men
104.2335|46.7054|5.88|1.093|||
104.2522|33.6810|5.91|0.878|||
104.3192|58.4228|4.35|0.850|||Lyn
104.3913|-24.6308|5.45|0.390|||
104.4046|45.0941|4.90|0.027|||Lyn
104.6046|-34.1117|5.07|-0.154|t||Pup
104.6496|-25.4142|5.59|-0.162|||
104.6565|-28.9721|1.50|-0.211|ε|Adhara|CMa
104.7376|3.6024|5.96|1.056|||
104.9606|-67.9164|5.18|1.396|HD 53501||
105.0168|76.9774|4.55|1.365|||
105.0659|16.0790|5.73|1.641|||Gem
105.0990|-8.4068|5.95|-0.075|||
105.2145|-51.4026|5.14|1.652|||Car
105.2748|-25.2156|5.64|-0.165|LS||CMa
105.3392|70.8083|5.69|1.337|||
105.4298|-27.9348|3.49|1.729|σ|Unurgunite|CMa
105.4849|-5.7221|5.22|1.687|||
105.5729|15.3360|5.78|1.140|||
105.6033|24.2154|5.20|0.953|ω||Gem
105.6064|17.7555|5.96|1.518|NP||Gem
105.6387|16.6744|5.86|1.659|||
105.7282|-4.2392|4.99|-0.195|||Mon
105.7561|-23.8333|3.02|-0.077|ο2|Al Zara|CMa
105.8129|-59.1781|5.50|-0.125|V0450||Car
105.8246|9.1384|5.96|0.126|||
105.8769|29.3371|5.93|0.595|GJ262||
105.9086|10.9518|5.14|1.391|||
105.9396|-15.6333|4.11|-0.112|γ|Muliphein|CMa
105.9734|-49.5839|4.92|0.140|H||Pup
105.9888|-43.6080|5.56|0.624|GJ264.1A||
106.0116|-42.3373|5.20|0.198|C||Pup
106.0219|-5.3240|5.63|1.290|||
106.0272|20.5703|4.01|0.899|ζ|Mekbuda|Gem
106.0764|-56.7497|5.14|-0.032|V0386||Car
106.3265|22.6375|6.00|-0.027|||Gem
106.4126|9.1858|5.78|1.513|||
106.5483|34.4740|5.55|0.909|||
106.6699|-11.2940|5.41|0.033|FN||CMa
106.7795|-40.8933|5.80|-0.158|D||Pup
106.8054|-51.9683|5.96|0.996|||
106.8433|34.0093|5.94|1.507|||
106.8441|-23.8407|5.75|-0.117|FV||CMa
106.9562|7.4712|5.74|1.176|||
107.0918|15.9307|5.47|1.020|||Gem
107.0979|-26.3932|1.83|0.671|δ|Wezen|CMa
107.1765|-70.4971|5.68|0.436|γ1||Vol
107.1869|-70.4989|3.78|1.006|γ2||Vol
107.2128|-39.6557|4.83|-0.179|A||Pup
107.3890|-16.2345|6.00|0.040|OS||CMa
107.4293|-25.2310|5.69|-0.158|LZ||CMa
107.5570|-4.2371|4.91|1.020|||Mon
107.5805|-27.4915|5.46|0.998|||
107.6978|-48.9321|5.12|1.251|HD 55526||
107.7849|30.2452|4.41|1.261|τ||Gem
107.8461|26.8566|5.75|0.130|||Gem
107.8484|-0.3019|5.44|0.310|||Mon
107.9139|39.3205|4.91|1.451|||Aur
107.9234|-20.8831|5.84|-0.038|||
107.9661|-0.4928|4.15|-0.005|δ||Mon
108.0509|-25.9426|5.91|-0.170|||CMa
108.0659|-40.4988|5.30|0.072|E||Pup
108.1076|-36.5444|5.94|-0.145|V0363||Pup
108.1099|24.1286|5.85|0.397|||Gem
108.1401|-46.7593|4.49|0.324|I||Pup
108.2800|-11.2513|5.77|1.508|||
108.3056|-45.1827|4.87|-0.003|L1||Pup
108.3428|16.1590|5.07|1.653|||Gem
108.3475|51.4287|5.46|1.640|UY||Lyn
108.3501|-22.6742|5.99|1.481|||
108.3847|-44.6397|4.42|1.331|L2||Pup
108.5452|-3.9018|5.80|1.585|||
108.5634|-26.3525|4.42|-0.170|||CMa
108.5647|-9.9475|5.90|1.528|||
108.5836|3.1114|5.36|1.193|||
108.6359|12.1158|5.71|1.007|||
108.6589|-48.2719|4.75|-0.091|||
108.6749|24.8850|5.84|1.554|||Gem
108.6917|-46.8497|5.72|-0.109|PR||Pup
108.7027|-26.7727|4.01|-0.150|ω||CMa
108.7132|-27.0380|5.58|1.220|||
108.7381|-41.4264|5.95|-0.146|||
108.8378|-30.6864|5.36|-0.155|||
108.8384|-52.4992|5.96|1.099|||
108.9143|7.9777|5.78|1.537|||
108.9302|-10.5836|5.95|1.173|||
108.9589|47.2400|5.54|0.576|GJ1095||
108.9788|59.6375|5.20|1.081|||Lyn
108.9882|27.8974|5.75|1.605|||Gem
109.0606|-15.5857|5.46|0.079|Wo9228||
109.0645|-46.7745|5.64|1.441|||
109.1327|-38.3189|5.81|-0.133|||
109.1458|-27.8812|4.66|1.589|||
109.1535|-23.3156|4.83|1.601|||CMa
109.2059|-36.5926|5.03|-0.161|||
109.2076|-67.9572|3.97|0.760|δ||Vol
109.2857|-37.0975|2.71|1.616|π||Pup
109.3905|52.1311|5.93|1.259|||
109.5092|40.8834|5.87|0.181|||Aur
109.5177|-43.9868|5.86|-0.117|M||Pup
109.5232|16.5404|3.58|0.106|λ||Gem
109.5766|-36.7340|4.65|-0.099|v1||Pup
109.6332|49.4648|5.00|0.087|||
109.6396|-39.2103|5.24|0.026|F||Pup
109.6591|-36.7427|5.11|-0.170|v2||Pup
109.6682|-24.5587|4.88|-0.160|||CMa
109.6770|-24.9544|4.37|-0.132|τ||CMa
109.7136|-26.5859|5.29|0.956|||
109.8432|2.7407|5.90|1.069|||
109.8674|-16.3952|5.70|0.346|R||CMa
109.9485|7.1429|5.91|0.537|||
110.0307|21.9823|3.50|0.374|δ|Wasat|Gem
110.0893|-52.3115|5.50|0.483|||
110.1617|-52.0859|5.38|-0.069|||
110.2288|-26.9638|6.00|-0.172|HQ||CMa
110.2429|-14.3605|5.59|0.971|||
110.2681|-25.8916|5.87|1.604|MZ||CMa
110.3229|45.2282|5.74|0.342|||
110.4869|20.4437|5.09|1.528|||Gem
110.5109|36.7606|5.12|1.082|||Aur
110.5145|0.1771|5.99|-0.069|||
110.5564|-19.0166|4.94|-0.039|||
110.6058|-5.9828|5.83|0.352|||
110.7169|55.2814|5.80|-0.078|||Lyn
110.7529|-31.9238|5.40|-0.161|NO||CMa
110.8688|25.0505|5.04|0.902|A||Gem
110.8708|-27.8343|5.37|1.539|||
110.8829|-32.2021|5.41|-0.169|||
111.0238|-29.3031|2.45|-0.083|η|Aludra|CMa
111.0353|40.6724|5.23|1.249|||Aur
111.1394|27.6379|5.77|0.368|||Gem
111.1674|-16.2015|5.18|-0.035|FW||CMa
111.1827|-31.8089|5.35|1.071|||
111.2379|51.8873|5.80|1.610|||
111.2424|11.6695|5.37|0.105|||CMi
111.2846|-13.7520|5.79|0.432|||
111.3553|-25.2178|5.79|-0.103|||
111.4087|-79.0942|5.54|1.281|ε||Men
111.4121|9.2761|4.99|0.991|ε||CMi
111.4317|27.7981|3.78|1.024|ι|Propus|Gem
111.4633|-5.7750|5.98|0.901|||
111.5910|-51.0185|5.09|1.038|||
111.6769|-34.1407|5.90|-0.153|||
111.6785|49.2115|4.61|-0.001|||Lyn
111.7347|20.2576|5.94|0.336|||Gem
111.7478|-23.0860|5.65|-0.134|FY||CMa
111.7833|-17.8649|5.60|0.314|NR||CMa
111.7877|8.2893|2.89|-0.097|β|Gomeisa|CMi
111.9289|-22.8592|5.98|-0.088|||
111.9348|21.4452|5.20|0.455|||Gem
111.9653|-11.5569|5.79|0.583|||
111.9965|-29.1559|5.55|-0.048|||
112.0086|6.9420|5.22|0.221|η||CMi
112.0408|8.9255|4.33|1.425|γ||CMi
112.2131|-31.8484|5.95|-0.156|||
112.2145|48.1839|5.70|-0.092|||
112.2705|-31.4562|5.78|-0.185|||
112.2737|-38.8121|5.41|-0.148|y||Pup
112.2780|31.7846|4.16|0.320|ρ||Gem
112.3076|-43.3014|3.25|1.509|σ||Pup
112.3278|-1.9053|5.60|1.493|||
112.3352|28.1183|5.07|0.120|||Gem
112.3421|-10.3267|5.75|1.616|||
112.3568|-7.5512|5.86|0.487|HD 59380||
112.4491|12.0066|4.55|1.276|||CMi
112.4532|27.9161|5.01|1.117|b||Gem
112.4642|-23.0243|4.85|0.243|||
112.4832|49.6725|5.35|0.470|||Lyn
112.4988|-52.6512|5.87|1.010|||
112.6288|-54.3994|5.95|1.585|||
112.6775|-30.9623|4.65|0.904|||
112.7196|68.4656|5.63|1.100|||
112.7686|82.4115|4.92|1.633|VZ||Cam
112.9517|17.0860|5.45|1.126|||
113.0240|-8.8813|5.90|0.540|HD 59984||
113.0248|1.9145|5.24|0.230|δ1||CMi
113.2907|-24.7107|5.84|0.156|||
113.2986|3.2904|5.59|0.321|δ2||CMi
113.3315|-19.4125|5.64|1.121|||
113.4020|15.8267|5.27|0.055|||Gem
113.4498|-14.5239|4.82|1.362|KQ||Pup
113.4627|-36.3384|5.42|-0.078|z||Pup
113.5133|-22.2961|4.44|0.521|GJ279||
113.5662|3.3717|5.83|-0.018|δ3||CMi
113.5776|-23.4737|5.06|0.468|n||Pup
113.6450|-27.0123|5.78|1.045|||
113.6494|31.8883|1.58|0.034|α|Castor|Gem
113.7867|30.9609|5.34|1.010|||
113.8454|-28.3693|4.65|-0.111|p||Pup
113.9155|-52.5338|4.93|1.373|Q||Car
113.9806|26.8957|4.06|1.540|υ||Gem
114.0162|-14.4928|5.66|-0.067|V0378||Pup
114.1318|46.1803|5.66|1.560|||
114.1446|5.8622|5.89|0.602|||
114.1710|-19.7023|5.69|-0.165|PT||Pup
114.1830|-48.8302|5.69|-0.037|y2||Pup
114.1960|55.7551|5.93|1.123|||
114.3195|-4.1110|5.14|0.442|||Mon
114.3421|-34.9685|4.53|-0.081|f||Pup
114.4744|48.7738|5.93|0.221|||
114.5752|-25.3648|4.69|-0.100|m||Pup
114.5759|-48.6014|5.68|0.683|y3||Pup
114.6369|35.0486|5.58|0.921|||Gem
114.6829|-36.4968|5.78|-0.148|e||Pup
114.7078|-26.8038|3.80|-0.159|κ1|Markab|Pup
114.7914|34.5843|4.89|0.413|ο|Jishui|Gem
114.8255|5.2250|0.40|0.432|α|Procyon|CMi
114.8639|-38.3080|4.84|-0.189|d1||Pup
114.8691|17.6745|5.04|1.616|f||Gem
114.9326|-38.1393|5.73|-0.125|d2||Pup
114.9495|-38.2607|5.76|-0.071|d3||Pup
114.9916|-37.5794|5.99|-0.040|d4||Pup
115.0564|-19.6609|5.92|1.158|||
115.0612|38.3445|5.77|1.654|||
115.0967|-15.2639|4.98|1.543|||Pup
115.1270|87.0201|5.05|1.604|OV||Cep
115.2438|23.0185|5.93|1.561|||
115.3017|48.1315|5.58|1.011|||
115.3118|-9.5511|3.94|1.022|α||Mon
115.3159|-38.5335|5.41|-0.130|||
115.3965|3.6248|5.95|-0.032|||
115.4553|-72.6061|3.93|1.033|ζ||Vol
115.4660|13.4805|5.79|1.669|||
115.5134|14.2085|5.55|1.642|NZ||Gem
115.7006|-26.3513|5.64|0.990|||
115.7379|-45.1731|5.04|0.765|GJ284||
115.7517|58.7104|4.93|0.104|||Lyn
115.7999|-36.0501|5.60|-0.130|||
115.8280|28.8835|4.23|1.118|σ||Gem
115.8849|-28.4109|4.63|1.632|||Pup
115.9247|-40.9337|5.12|1.104|||
115.9520|-28.9548|3.94|0.160|l||Pup
116.0174|50.4338|5.31|-0.001|||
116.0288|25.7842|5.30|1.535|c||Gem
116.0404|-36.0625|5.80|0.320|||
116.1119|24.3980|3.57|0.932|κ||Gem
116.1424|-24.6741|5.62|-0.191|V0390||Pup
116.1424|-37.9429|5.89|-0.115|||
116.3137|-37.9686|3.62|1.706|c||Pup
116.3290|28.0262|1.16|0.991|β|Pollux|Gem
116.3959|-34.1724|5.36|0.589|||Pup
116.4870|-14.5638|5.03|0.342|||Pup
116.5091|-6.7725|5.49|1.378|||
116.5310|18.5100|4.89|1.425|g||Gem
116.5439|-37.9337|5.87|-0.111|V0392||Pup
116.5675|10.7683|5.25|0.018|||CMi
116.6637|37.5174|5.15|1.588|DU||Lyn
116.6670|65.4557|5.93|1.183|||Cam
116.8023|-22.5195|5.90|-0.180|||
116.8541|-38.5111|5.07|-0.112|||
116.8763|33.4157|5.14|1.635|π||Gem
116.8813|-46.6085|5.22|-0.151|||
116.9863|-12.1927|5.48|0.478|||Pup
117.0215|-25.9372|4.40|-0.070|ο||Pup
117.0840|-47.0777|4.69|1.039|Q||Pup
117.2570|-24.9122|5.32|0.751|||Pup
117.2780|-56.4104|5.57|1.116|||
