# ra_deg|dec_deg|mag|bv|bayer|proper_name|constellation
21.6737|19.2404|5.50|1.106|||Psc
21.7149|-13.0565|5.51|0.321|||Cet
21.9141|45.4067|4.83|0.421|ω||And
22.0914|-43.3182|3.41|1.542|γ||Phe
22.4006|-21.6293|5.11|0.028|||Cet
22.5254|47.0073|5.27|0.999|A|Thail|And
22.5463|6.1438|4.84|1.372|μ||Psc
22.5954|-26.2079|5.92|1.327|||
22.8073|70.2646|5.82|0.489|||Cas
22.8129|-49.0727|3.93|0.972|δ||Phe
22.8709|15.3458|3.62|0.974|η|Alpherg|Psc
22.9302|-30.2831|5.79|1.073|||
23.2336|-36.8652|5.49|1.021|||
23.3571|58.3273|5.69|1.435|||
23.4285|-7.0253|5.75|0.639|||
23.4828|59.2320|4.68|0.991|χ||Cas
23.5692|37.2371|5.90|-0.067|KK||And
23.6574|-15.6764|5.62|0.066|||Cet
23.7044|18.4605|5.90|1.536|||
23.9782|17.4338|5.95|0.259|||
23.9957|-15.4002|5.41|1.226|||Cet
24.0355|-29.9073|5.69|0.335|τ||Scl
24.1993|41.4055|4.10|0.536|υ|Titawin|And
24.2747|12.1415|5.54|0.347|π||Psc
24.3667|-84.7696|5.66|0.939|||
24.4285|-57.2368|0.45|-0.158|α|Achernar|Eri
24.4815|-82.9750|5.88|0.620|GJ67.1||
24.4982|48.6282|3.59|1.275||Nembus|And
24.5315|57.9776|5.55|1.388|||
24.6145|-36.5283|5.94|1.045|||
24.6288|73.0400|5.28|0.972|||Cas
24.7158|-21.2754|5.58|0.346|||
24.8375|44.3862|5.01|0.883|χ||And
24.9201|16.4059|5.98|1.119|||Psc
24.9481|-56.1964|5.76|0.880|p||Eri
25.1451|40.5770|4.96|-0.068|τ||And
25.1652|43.2977|5.63|0.214|||
25.3579|5.4876|4.45|1.347|ν||Psc
25.4135|30.0471|5.97|1.015|||
25.4368|-11.3247|5.75|0.443|||
25.4464|42.6134|4.96|0.618|GJ67||
25.4499|-60.7893|5.70|1.264|||
25.5125|-36.8323|5.70|-0.010|||
25.5145|35.2457|5.63|-0.059|||
25.5358|-32.3270|5.25|1.044|π||Scl
25.5855|68.0430|5.57|-0.049|||Cas
25.6221|-53.7408|5.52|0.551|q1||Eri
25.6240|20.2685|5.24|0.836|||Psc
25.6813|-3.6902|4.98|1.378|||
25.7328|70.6225|5.18|-0.022|||Cas
25.8323|60.5513|5.78|-0.010|||Cas
25.9152|50.6887|4.01|-0.098|φ||Per
26.0170|-15.9375|3.49|0.727|τ||Cet
26.3485|9.1577|4.26|0.942|ο|Torcular|Psc
26.4115|-25.0526|5.29|0.395|ε||Scl
26.4969|-5.7333|5.37|1.517|||
26.5249|-50.8163|5.49|1.615|||Phe
26.5261|-53.5220|5.04|0.031|q2||Eri
26.9368|63.8525|5.63|0.804|V0987||Cas
27.0456|16.9556|5.86|-0.039|||Ari
27.1084|3.6854|5.91|0.970|||
27.1622|37.9529|5.94|0.975|||
27.1732|32.6902|5.78|0.572|HD 11007||
27.3963|-10.6864|4.66|0.333|χ||Cet
27.5357|22.2753|5.83|0.743|||Ari
27.7166|11.0434|5.92|0.302|||Cet
27.7268|-50.2061|5.94|0.154|BD||Phe
27.7380|51.9334|5.96|0.419|||
27.8651|-10.3350|3.74|1.136|ζ|Baten Kaitos|Cet
27.9972|55.1474|5.53|-0.175|||Per
28.0390|50.7928|5.70|-0.067|||Per
28.2171|-16.9292|5.78|0.260|BK||Cet
28.2704|29.5788|3.42|0.488|α|Mothallah|Tri
28.3223|40.7298|5.42|1.311|||And
28.3826|19.2939|3.88|-0.047|γ1|Mesarthim|Ari
28.3890|3.1875|4.61|0.928|ξ||Psc
